,Altura,Nombre,Peso,Posicion,Status,Yardas
0,175.0,"Abdullah, Ameer", 203,RB,ACT,552
1,177.5,"Abdullah, Khalid", 211,RB,CUT,--
2,182.88,"Ajayi, Jay", 223,RB,ACT,873
3,182.88,"Allen, Javorius", 222,RB,ACT,591
4,172.5,"Anderson, C.J.", 224,RB,ACT,"1,007"
5,185.928,"Armah, Alex", 255,RB,ACT,--
6,177.5,"Artis-Payne, Cameron", 215,RB,ACT,95
7,182.88,"Asiata, Matt", 219,RB,CUT,--
8,185.928,DEV, 220,RB,CAR,AVG
9,185.928,"Bacci, Joe", 245,RB,CUT,--
10,177.5,"Banyard, Joe", 221,RB,CUT,--
11,180.0,"Barber, Peyton", 225,RB,ACT,423
12,175.0,"Barner, Kenjon", 195,RB,ACT,57
13,185.928,"Bell, Le'Veon", 225,RB,ACT,"1,291"
14,175.0,"Bernard, Giovani", 205,RB,ACT,458
15,180.0,"Bibbs, Kapri", 203,RB,ACT,79
16,182.88,"Blount, LeGarrette", 250,RB,ACT,766
17,188.976,"Blue, Alfred", 225,RB,ACT,262
18,185.928,"Bohanon, Tommy", 246,FB,ACT,5
19,180.0,"Bolden, Brandon", 220,RB,ACT,67
20,180.0,"Booker, Devontae", 219,RB,ACT,299
21,177.5,"Breida, Matt", 190,RB,ACT,465
22,185.928,CUT, 218,RB,CAR,AVG
23,180.0,"Brown, Mack", 213,RB,ACT,29
24,180.0,"Brown, Malcolm", 227,RB,ACT,246
25,172.5,CUT, 200,RB,CAR,AVG
26,177.5,"Burkhead, Rex", 210,RB,ACT,264
27,182.88,"Burton, Michael", 240,FB,ACT,9
28,185.928,"Cadet, Travaris", 210,RB,RES,96
29,177.5,"Carey, Ka'Deem", 215,RB,CUT,--
30,180.0,"Carson, Chris", 218,RB,RES,208
31,180.0,"Carson, Tra", 228,RB,RES,--
32,180.0,"Charles, Jamaal", 199,RB,ACT,296
33,177.5,"Clement, Corey", 220,RB,ACT,321
34,167.5,"Cohen, Tarik", 181,RB,ACT,370
35,182.88,"Coleman, Derrick", 233,FB,ACT,8
36,185.928,"Coleman, Tevin", 210,RB,ACT,628
37,177.5,"Collins, Alex", 210,RB,ACT,973
38,185.928,"Conner, James", 233,RB,RES,144
39,177.5,"Cook, Dalvin", 210,RB,RES,354
40,182.88,"Cook, Tim", 242,RB,NWT,--
41,182.88,DEV, 217,RB,CAR,AVG
42,180.0,"Crossan, Dalton", 203,RB,CUT,--
43,180.0,"Crowell, Isaiah", 225,RB,ACT,853
44,177.5,"Cunningham, Benny", 218,RB,ACT,29
45,180.0,"Daniels, LeShun", 225,RB,RES,14
46,180.0,"Darkwa, Orleans", 219,RB,ACT,751
47,185.928,"Davis, Justin", 198,RB,ACT,1
48,180.0,"Davis, Knile", 227,RB,CUT,--
49,175.0,"Davis, Mike", 217,RB,ACT,240
50,172.5,"Dayes, Matt", 205,RB,ACT,13
51,192.024,"Develin, James", 255,FB,ACT,--
52,185.928,"DiMarco, Patrick", 234,FB,ACT,-2
53,177.5,"Dixon, Kenneth", 223,RB,RES,--
54,185.928,"Drake, Kenyan", 211,RB,ACT,644
55,180.0,"Draughn, Shaun", 214,RB,CUT,--
