,Altura,Año,Nombre,Peso,Yardas_totales
0,172.5,1925,"Abbott, Faye", 182,0
1,177.5,1946,"Abbruzzi, Duke", 175,26
2,182.88,2001,"Abdullah, Rabih", 235,172
3,177.5,1926,"Abel, Fred", 170,0
4,182.88,1985,"Abercrombie, Walter", 207,"3,357"
5,182.88,2014,"Abram, Chad", 229,0
6,182.88,2008,"Abrams, Josh", 195,0
7,182.88,1951,"Adamle, Tony", 215,0.0
8,175.0,1973,"Adamle, Mike", 197,"1,149"
9,180.0,1987,"Adams, Curtis", 198,907
10,177.5,2014,"Adams, D.J.", 210,0
11,167.5,1987,"Adams, David", 168,49
12,185.928,1988,"Adams, George", 225,886
13,192.024,1961,"Adams, John", 235,99
14,180.0,2008,"Addai, Joseph", 214,"4,453"
15,185.928,1938,"Agee, Sam", 218,311
16,182.88,1991,"Agee, Tommie", 235,309
17,185.928,1948,"Agler, Bob", 208,48
18,177.5,2014,"Agnew, Ray", 247,2
19,185.928,1947,"Akins, Al", 199,0
20,177.5,1945,"Akins, Frank", 208,"1,142"
21,175.0,1925,"Albanese, Dom", 190,0
22,182.88,1937,"Albanese, Vannie", 184,150
23,182.88,1987,"Albright, Ira", 285,0.0
24,182.88,1952,"Aldridge, Bennie", 195,0.0
25,188.976,1980,"Aldridge, Jerry", 220,0
26,180.0,2012,"Alexander, Alvester", 204,0
27,185.928,1982,"Alexander, Charles", 224,"2,645"
28,182.88,2002,"Alexander, Dan", 257,0
29,182.88,1991,"Alexander, Jeff", 245,146
30,182.88,1982,"Alexander, Robert", 185,31
31,180.0,2004,"Alexander, Shaun", 228,"9,453"
32,177.5,1987,"Alexander, Vincent", 205,71
33,182.88,2007,"Alexis, Rich", 234,5
34,182.88,1969,"Alflen, Ted", 195,0
35,188.976,2009,"Ali, Charles", 255,0
36,185.928,2012,"Allen, Anthony", 223,69
37,172.5,2012,"Allen, Armando", 190,172
38,175.0,2003,"Allen, Brian", 205,0
39,182.88,1948,"Allen, Carl", 175,0
40,175.0,2004,"Allen, David", 195,8
41,182.88,1960,"Allen, Don", 200,18
42,185.928,1947,"Allen, Eddie", 200,16
43,180.0,1961,"Allen, Buddy", 193,-4
44,177.5,1983,"Allen, Gary", 183,7
45,185.928,1968,"Allen, Jerry", 200,664
46,180.0,1985,"Allen, Greg", 200,35
47,177.5,1999,"Allen, James", 215,"2,497"
48,182.88,2007,"Allen, Jermaine", 230,0
49,180.0,2007,"Allen, Josh", 215,0
50,188.976,1990,"Allen, Marcus", 210,"12,243"
51,177.5,1990,"Allen, Marvin", 215,378
52,180.0,1996,"Allen, Terry", 208,"8,614"
53,182.88,1967,"Allison, Jim", 215,378
54,175.0,2008,"Alridge, Anthony", 185,0
55,185.928,2002,"Alstott, Mike", 248,"5,088"
56,180.0,1951,"Amberg, John", 195,0.0
57,182.88,1957,"Ameche, Alan", 218,"4,045"
58,182.88,1961,"Ames, Dave", 185,114
59,180.0,2015,"Amosa, Jonathan", 247,0
60,192.024,1991,"Amsler, Greg", 232,0
61,192.024,1974,"Amundson, George", 215,194
62,177.5,1945,"Ananis, Vito", 195,8
63,180.0,1995,"Anders, Kimble", 218,"2,261"
64,185.928,1988,"Anderson, Alfred", 214,"2,374"
65,182.88,2010,"Anderson, Andre'", 212,0
66,182.88,1979,"Anderson, Anthony", 197,123
67,180.0,1990,"Anderson, Neal", 210,"6,166"
68,180.0,2004,"Anderson, Damien", 218,142
69,177.5,2009,"Anderson, Deon", 240,3
70,188.976,1970,"Anderson, Donny", 215,"4,696"
71,182.88,1989,"Anderson, Gary", 180,"3,409"
72,180.0,1998,"Anderson, Jamal", 237,"5,336"
73,182.88,2004,"Anderson, Jason", 205,0
74,172.5,1970,"Anderson, Max", 180,599
0,182.88,2004,"Anderson, Mike", 230,"4,067"
1,188.976,1985,"Anderson, Ottis", 220,"10,273"
2,188.976,1999,"Anderson, Richie", 215,"1,274"
3,185.928,1978,"Anderson, Rickey", 211,11
4,182.88,1972,"Anderson, Bobby", 208,"1,282"
5,188.976,1963,"Anderson, Bob", 215,-2
6,185.928,2012,"Anderson, Todd", 267,0
7,182.88,1980,"Anderson, Vickey Ray", 205,5
8,177.5,1923,"Anderson, Will", 173,0
9,182.88,1953,"Anderson, Billy", 198,8
10,177.5,2015,"Andrews, Antonio", 225,535
11,192.024,1973,"Andrews, John", 227,1
12,182.88,1983,"Andrews, William", 206,"5,986"
13,180.0,1949,"Angsman, Elmer", 200,"2,908"
14,177.5,1923,"Annan, Dunc", 178,0
15,180.0,1984,"Anthony, Edward", 212,170
16,182.88,1961,"Apple, Jim", 200,2
17,172.5,2015,"Archer, Dri", 173,40
18,172.5,1998,"Archie, Mike", 205,24
19,180.0,1954,"Arenas, Joe", 180,987
20,177.5,1922,"Argus, Bob", 193,0
21,182.88,1982,"Armstrong, Adger", 213,231
22,177.5,1977,"Armstrong, Otis", 196,"4,453"
23,180.0,1961,"Arnett, Jon", 197,"3,833"
24,172.5,2000,"Arnold, Gerard", 191,0
25,185.928,1939,"Arnold, Jay", 210,43
26,175.0,2007,"Arrington, J.J.", 212,654
27,185.928,1967,"Asbury, Willie", 226,868
28,177.5,1949,"Aschenbrenner, Frank", 188,0
29,177.5,1924,"Ashbaugh, Bill", 175,0
30,185.928,1974,"Ashton, Josh", 205,994
31,180.0,1996,"Aska, Joe", 240,336
32,192.024,2006,"Askew, B.J.", 233,116
33,192.024,1925,"Asplundh, Les", 213,0
34,188.976,1955,"Atkeson, Dale", 211,639
35,185.928,1974,"Atkins, Dave", 205,23
36,185.928,1963,"Atkins, Pervis", 230,201
37,182.88,1980,"Atkins, Steve", 216,488
38,185.928,1961,"Atkins, Billy", 196,0.0
39,170.0,1922,"Attache, Reggie", 195,0
40,180.0,1948,"Atwood, John", 195,6
41,185.928,1966,"Auer, Joe", 200,773
42,180.0,1982,"Augustyniak, Mike", 225,567
43,182.88,1985,"Austin, Cliff", 203,445
44,177.5,1999,"Autry, Darnell", 210,653
45,175.0,2000,"Avery, John", 190,524
46,188.976,1992,"Avery, Steve", 233,7
47,185.928,1953,"Avinger, Butch", 215,6
48,188.976,2002,"Ayanbadejo, Obafemi", 230,413
49,192.024,1960,"Babb, Gene", 216,461
50,167.5,1926,"Babcock, Sam", 168,0
51,172.5,1987,"Badanjek, Rick", 217,87
52,182.88,1947,"Bagarus, Steve", 173,343
53,175.0,1926,"Bagby, Herm", 175,0
54,180.0,1952,"Baggett, Billy", 175,65
55,180.0,2006,"Bagwell, Antoine", 190,0
56,175.0,1923,"Bahan, Pete", 165,0
57,177.5,1953,"Bahnsen, Ken", 200,1
58,170.0,2012,"Bailey, Antwon", 195,0
59,177.5,1952,"Bailey, Byron", 192,103
60,180.0,1987,"Bailey, Clarence", 220,55
61,188.976,1973,"Bailey, Tom", 211,186
62,172.5,1992,"Bailey, Johnny", 190,832
63,192.024,1977,"Bailey, Mark", 237,564
64,185.928,1968,"Bailey, Teddy", 225,0
65,177.5,1966,"Baird, Bill", 180,0.0
66,182.88,1961,"Baker, Art", 220,507
67,172.5,2014,"Baker, Edwin", 210,173
68,188.976,1961,"Baker, Sam", 217,234
69,172.5,1929,"Baker, Bullet", 180,0
70,192.024,1964,"Baker, Terry", 200,4
71,177.5,2010,"Baker, Toney", 225,0
72,177.5,1988,"Baker, Tony", 182,53
73,180.0,1972,"Baker, Tony", 229,"2,087"
74,188.976,1942,"Balasz, Frank", 212,228
0,188.976,1956,"Baldacci, Lou", 200,140
1,177.5,1993,"Baldwin, Randy", 220,231
2,185.928,1966,"Baldwin, Bob", 225,0
3,188.976,1992,"Ball, Eric", 230,586
4,175.0,2010,"Ball, Lance", 224,801
5,177.5,2014,"Ball, Montee", 215,731
6,177.5,2014,"Ballard, Vick", 224,877
7,185.928,1968,"Ballman, Gary", 215,"5,366"
8,180.0,1972,"Banaszak, Pete", 210,"3,772"
